text,contains exclamation mark,hasHashtag,Count uppercase letters,Count Lowercase letters,Number_of_Characters,has first person Pronoun,Contains smiling emoticon,Sentiment Score(n+-),No_of_positive_words,No_of_negative_words,isPositiveSentiment,isNegativeSentiment,isNeutralSentiment,hasUserMention(Old System feature),hasURL(Old System feature),hasQuestionMark(Old System Feature),truncated,hasUserDescription,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,isFrequentAuthor(Old system feature),RegAgeInDays(Old System Feature),geo_enabled,profile_background_tile,profile_use_background_image,default_profile,default_profile_image,retweet_count,favorite_count,class
[ICYMI] LTFRB to Uber: Pay P190-M fine or continue suspension \nhttps://t.co/IMv2pCQKm4,FALSE,FALSE,19,43,87,FALSE,FALSE,59.4994,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5260709,826,8524,15995,508447,TRUE,3069,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
P-Duterte If terrorism takes hold Luzon I will declare martial law throughout the country. https\/\/t.co\/NlJzsUFrgl,FALSE,FALSE,9,84,116,TRUE,FALSE,63.3,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13763,95,4,40,10423,TRUE,351,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
BREAKING Aguirre orders NBI to probe death of Reynaldo de Guzman https\/\/t.co\/xlOKAwRABu\n\n\u2014 CNN Philippines (cnnphilippines) September 6 \u2026,FALSE,FALSE,25,88,152,FALSE,FALSE,85.62,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1887,415,518,281,614130,TRUE,3119,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,TRUE
Sen. migzzubiri shares his thoughts on Arvin Balag and the Aegis Jvris fraternity  s alleged attempts to cover up Atio  s death. #ANCRecap \u2026,FALSE,TRUE,10,102,143,FALSE,FALSE,50,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1295,342,966,1255,583990,TRUE,1834,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,FALSE
Dramatic moment armed police swoop to arrest man 23 in Manchester over ISIS arena massacre https\/\/t.co\/vwco4WT9ZZ https\/\/t.co\/GhFLkcOFTt,FALSE,FALSE,16,92,142,FALSE,FALSE,72.79,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,178397,553,2461,827,142162,TRUE,2800,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
BREAKING | Duterte on Mindanao Martial Law I may include the Visayas and suspend writ of habeas corpus | News5 -\u2026 https\/\/t.co\/lB7zng3yy8,FALSE,FALSE,16,88,144,TRUE,FALSE,55.0408,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1014,991,1,0,2655,FALSE,839,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
UP Diliman says Carl Angelo intent on returning to school calls for immediate justice https\/\/t.co\/G9xMWssDiz,FALSE,FALSE,9,80,111,FALSE,FALSE,86.2923,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5276335,822,8531,15988,510516,TRUE,3069,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
CJ Sereno Guilty or not they are not forgotten; they are still human beings. #Talab2017,FALSE,TRUE,5,61,87,FALSE,FALSE,57.9802,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,243,301,3,5151,5685,FALSE,1970,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,FALSE
 @BoomBuencamino President   noynoyaquino \n\nNumber of govt forces killed in Marawi was 4x that of Mamasapano  s.\nThere\u2026 https://t.co/mXHJnP1mcG,FALSE,FALSE,12,102,148,FALSE,FALSE,64.8649,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,213,350,3,2594,6691,FALSE,2263,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE
Martial Law in Mindanao 15 Things you Should Know https\/\/t.co\/1MnfFgzMlt via   Reporter.PH,FALSE,FALSE,12,57,92,FALSE,FALSE,71.39,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,27,189,0,403,103,FALSE,294,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
Present Duterte meets with Carl Angelo Arnaiz parents (\ud83d\udcf7 PAO Chief   persaacosta )   ABSCBNNews https\/\/t.co\/N8JV5Cyxb4,FALSE,FALSE,20,77,130,FALSE,FALSE,94.841,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2308,12,16,586,325,FALSE,1768,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,TRUE
READ Sen. Bam Aquino on the armed conflict in Marawi | via   joy_gumatay\nHERE https\/\/t.co\/mhXUWN4sql https\/\/t.co\/ypvPuMrn2Z,FALSE,FALSE,19,75,129,FALSE,FALSE,64.2,0,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,111816,1132,670,1158,161886,TRUE,3303,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
Escape From Marawi | Trailer | Available Now https//t.co/MIY1uRbqfk,FALSE,FALSE,10,42,67,FALSE,FALSE,55.21,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2653,4240,285,17701,288099,TRUE,3112,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
Philippines declares martial law as army clashes with ISIS-backed Muslim terror group https\/\/t.co\/dxVXEt5Qqu,FALSE,FALSE,10,80,111,FALSE,FALSE,50.86,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,93379,85400,618,0,388420,TRUE,2391,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,TRUE
#ka8trimedia Pangulong Duterte The martial law of Pres. Marcos was good.,FALSE,TRUE,5,53,72,FALSE,FALSE,51.31,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,21,13,4,106,20119,FALSE,873,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,TRUE
A fascinating interview I d with   carmelafonbuena in September about the origins and impact of the Marawi conflict https//t.co/aWrLKrH4ps,FALSE,FALSE,8,105,137,TRUE,FALSE,89.9992,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,834,459,35,80,7295,FALSE,2882,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
RT cnnphilippines \BREAKING Aguirre orders NBI to probe death of Reynaldo de Guzman https\/\/t.co\/2uB56ahOPV\,FALSE,FALSE,20,65,110,FALSE,FALSE,58.845,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,29,0,1,34756,FALSE,270,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
LOOK Statement of Sen   kikopangilinan on the brutal killing of 14-yr old Reynaldo De Guzman   News5AKSYON https\/\/t.co\/GjQoLMcm,FALSE,FALSE,20,79,128,FALSE,FALSE,86.95,0,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4087,474,38,143,11029,TRUE,3074,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
ISIS invation in Marawi. #PrayForMarawi,FALSE,TRUE,8,25,39,FALSE,FALSE,50,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,205,132,0,6220,20338,FALSE,761,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
Eduardo Gabriel father of 14-year-old Reynaldo de Guzman. the friend of Carl Arnaiz found dead talks about his son https\/\/t.co\/xJ4N9W8mTr,FALSE,FALSE,10,96,140,FALSE,FALSE,92.41,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,282031,330,1187,59,207574,TRUE,1117,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
\Present Rodrigo Duterte has declared Martial Law in entire Mindanao for 60 days\,FALSE,FALSE,6,59,81,FALSE,FALSE,55.23,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,347,82,5,17330,13829,FALSE,1516,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,TRUE
[FIRST ON TWITTER]Lizada: Ever since LTFRB  s existence  there has been no order for conversion of suspension to fine. (via   ANCALERTS),FALSE,FALSE,30,76,134,FALSE,FALSE,62.608,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,439,0,0,536,FALSE,45,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,TRUE
Lawyers Involved in the Death of Atio Castillo are Facing Disbarment https://t.co/i2SVkKwcvv,FALSE,FALSE,10,65,92,FALSE,FALSE,56.3428,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,57,0,0,454,FALSE,54,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
Nilo Divina defiant rejects Poes advice to take leave Atio killing has no effect on my duty as UST Law dean\nhttps//t.co/c7QtUQc4uT,FALSE,FALSE,12,92,132,TRUE,FALSE,50.293,0,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,11612,62,73,4644,114270,TRUE,1293,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE
Duterte to turn over 500 to 600 transitional shelters for Marawi \u2018bakwits\u2019 by m-December -\u2026 https//t.co/oOybFOrk5T,FALSE,FALSE,7,79,129,FALSE,FALSE,50.2314,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,38,0,0,0,7996,FALSE,225,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
DOJ s parents of Carl Angelo Arnaiz under witness protection program\nhttps\/\/t.co\/gkooIQq8js,FALSE,FALSE,8,68,95,FALSE,FALSE,83.13,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,234353,975,1098,824,69380,TRUE,3160,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
Carl Arnaizs friend found dead in Nueva Ecija https\/\/t.co\/dArh06AsdV https\/\/t.co\/pHr4pn269M,FALSE,FALSE,9,59,97,FALSE,FALSE,56.1057,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,426,10,13,8,43501,FALSE,2594,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
Monsod Declaration of martial law a bit disquieting | LIVE https\/\/t.co\/CaczwF9CtH,FALSE,FALSE,10,55,84,FALSE,FALSE,78.0781,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,248675,323,1077,60,176667,TRUE,1117,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
Eduardo Gabriel (Father of Reynaldo de Guzman) He was a happy child close to his mother | #CNNPHNewsNight live https\/\/t.co\/CaczwF9CtH,FALSE,TRUE,17,88,136,FALSE,FALSE,96.5365,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,282032,330,1183,59,207570,TRUE,1117,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
ISIS Claims Responsibility For Manchester Bombing And Issues Chilling Warning. The Media Won\u2019t Show This.\u2026 https\/\/t.co\/YWc25yQCcm,FALSE,FALSE,22,84,142,FALSE,FALSE,78.32,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,7,2,1,0,2138,FALSE,2129,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
PRRD I can expand coverage of martial law to the Visayas &amp; suspend writ of habeas corpus. Claims militants may escape to the Visayas,FALSE,FALSE,8,102,136,TRUE,FALSE,60.37,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1287,601,20,763,3045,FALSE,3036,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
Present Rodrigo Duterte declared the entire island of Mindanao in Southern Philippines under Martial Law. \ud83d\udc4f\ud83d\udc7c,FALSE,FALSE,8,96,130,FALSE,FALSE,61.47,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,110,821,2,272,3415,FALSE,977,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
 @rambotalabong: READ: LTFRB order asks Uber to pay P190-million fine to lift their suspension. https://t.co/jSajiaU8WS,FALSE,FALSE,15,75,118,FALSE,FALSE,79.9954,1,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1598,698,25,12,6645,TRUE,1829,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
14-year-old boy last seen with Carl Arnaiz found dead in Nueva Ecija with 30 stab wounds https\/\/t.co\/V8mkKU0JwE via   News5 - InterAksyon,FALSE,FALSE,12,89,139,FALSE,FALSE,70.38,0,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,456,941,10,153,4075,FALSE,2913,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
  Pragmatizt Correction the entire Mindanao is in Martial Law for 60 days.,FALSE,FALSE,5,53,73,FALSE,FALSE,59.49,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,329,7,531,9786,FALSE,2896,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
 @CamilleElemia Trillanes says Dutertes declaration of martial law in entire Mindanao \not warranted\ bec clash onl\u2026 https\/\/t.co\/TWTTKoCO8q,FALSE,FALSE,12,102,146,FALSE,FALSE,58.12,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2612267,398,3412,7059,411811,TRUE,2283,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
Every year SSC organizes a UN Day to help spread peace and solarity. This year proceeds will go to our brothers\u2026 https//t.co/BSSvv602D3,FALSE,FALSE,12,93,140,TRUE,FALSE,53,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,173,98,0,69,307,FALSE,1827,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,FALSE
  @LoverOfBandsPh1   jplaxamana Heres what you need to know about martial law https\/\/t.co\/pTT5zQrf45 https\/\/t.co\/6XkZBdLmvY,FALSE,FALSE,13,80,126,FALSE,FALSE,50.8741,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,18,43,0,2703,1039,FALSE,187,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
Uber back on the road once it pays P190-M fine https://t.co/0IV92IIrw9 The Land Transportation Franchising and Regulatory Board (LTFRB) ha\u2026,FALSE,FALSE,18,87,144,FALSE,FALSE,96.3579,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1119,1371,12,131,14127,TRUE,1157,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,TRUE
Seeking Justice for Atio https://t.co/3zQQ4lMzLT via   northbound_ph,FALSE,FALSE,8,44,67,FALSE,FALSE,55.1235,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,143,81,2,2,6893,FALSE,762,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
  risahontiveros Senator   bamaquino on the killing of Reynaldo de Guzman We call on the PNP &amp; DOJ to ensure these m\u2026 https\/\/t.co\/8V4bNaCKUQ,FALSE,FALSE,16,95,150,FALSE,FALSE,50.9155,0,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,282029,330,1201,59,207594,TRUE,1117,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
Duterte I will pursue cases vs cops implicated in killing of Carl Arnaiz | Inquirer News https\/\/t.co\/HUlbGlzwO9,FALSE,FALSE,10,79,114,TRUE,FALSE,59.76,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,31,31,0,12,955,FALSE,1429,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
  @ANCALERTS   WoolbrightKathy   ZandroDZMM about time.....about time. coz #IAmKian #JusticeForKian,FALSE,TRUE,22,54,95,FALSE,FALSE,51.97,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,288,346,17,17070,13211,FALSE,2344,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
IBP sees no reason to question Present Dutertes Martial Law declaration at this time | anjocalimario https\/\/t.co\/U4jaMz95T5\n\n\u2014 CNN Phi\u2026,FALSE,FALSE,14,94,150,FALSE,FALSE,99,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2563,1850,409,238,557826,TRUE,3119,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,TRUE
Pres Duterte assured the Arnaiz family of a thorough &amp; impartial probe on the death of 19-yr-old Carl Angelo Arnaiz\u2026 https\/\/t.co\/cFrOTBoewX,FALSE,FALSE,11,102,151,FALSE,FALSE,84.33,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,68,184,2,15,4979,FALSE,2633,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
1 321 s and 1372 tweets (1330 RTs) in 2 days made Reynaldo de Guzman a Trending Topic in Philippines. #trndnl,FALSE,TRUE,7,65,109,FALSE,FALSE,79.51,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,186830,45,179,0,485761,TRUE,1628,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
Ariana Grandes concert in Manchester last night ended up in chaos as 22 people were killed by ISIS. https\/\/t.co\/Ktv56E25Yj,FALSE,FALSE,10,83,125,FALSE,FALSE,75.21,0,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,16,56,0,4,62,FALSE,173,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
NEWS Youth and studes stand with Marawi says no to Martial Law https\/\/t.co\/KLyOabUwk4   PhilstarNews,FALSE,FALSE,14,66,102,FALSE,FALSE,56.73,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3696,433,27,509,8482,TRUE,2647,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,TRUE
  @FashionPulis: Tweet Scoop: LTFRB to Lift Ban on Uber Only After Payment of 190 Million Fine and 19M+ Compensation to Drivers https://t.\u2026,FALSE,FALSE,20,83,142,FALSE,FALSE,67.897,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3911,68,305,137,74726,TRUE,42,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,TRUE
Top US intelligence official says ISIS claim of responsibility for Manchester attack not .\u2026 https\/\/t.co\/2gn2d26iOM,FALSE,FALSE,10,81,122,FALSE,FALSE,54.24,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,2576467,2759,19726,515,264118,TRUE,3211,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
This are the list of provinces and its capital that will be affected by Martial Law.\n\nZamboanga del Norte \u2013... https\/\/t.co\/vPrXvgjwi5,FALSE,FALSE,7,98,143,FALSE,FALSE,86.91,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,37,196,0,1087,1525,FALSE,727,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
gerarddelapena: LTFRB says P190-M fine imposed on Uber was based on its daily income of P7-10M multiplied by number of days it s suppos\u2026,FALSE,FALSE,10,94,142,FALSE,FALSE,86.0087,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2141,494,33,210,5300,TRUE,2522,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,TRUE
 @gmanews:   saleema_refran READ: LTFRB to Uber: Pay P190-M fine or continue suspension https://t.co/IMv2pCz8Xu,FALSE,FALSE,17,63,109,FALSE,FALSE,54.3045,1,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5260709,826,8524,15995,508447,TRUE,3069,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
#LTFRB lifts #Uber suspension but slaps it with P190-M fine: ... https://t.co/ODFQOEl6ZE #breakingnews #business,FALSE,TRUE,16,65,112,FALSE,FALSE,81.8745,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7704,10,62,0,98863,TRUE,2438,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
 @manilabulletin LOOK More photos from Present Dutertes meeting with the parents of slain teenager Carl Angelo A\u2026 https\/\/t.co\/UdysfOtmIC,FALSE,FALSE,14,99,143,FALSE,FALSE,91.76,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,234,151,6,726,4714,FALSE,811,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
gerarddelapena LTFRB computed P10M multiplied by 19 remaining days of suspension (from Tuesday) as basis for amoun\u2026 \u2026,FALSE,FALSE,8,86,127,FALSE,FALSE,58.6493,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,637,1754,0,101,5288,FALSE,1480,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
Duterte I have declared a 60-day Martial Law in Mindanao Writ of Habeas Corpus suspended https\/\/t.co\/1SIkxJuYla,FALSE,FALSE,12,76,114,TRUE,FALSE,55.26,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5169,1478,204,335,145674,TRUE,1808,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
RT cnnphilippines \BREAKING Aguirre orders NBI to probe death of Reynaldo de Guzman https\/\/t.co\/VqMhSNV7QF\ https\/\/t.co\/SP2NgnNCZi,FALSE,FALSE,29,75,136,FALSE,FALSE,58.845,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,89,347,2,25,35016,FALSE,1962,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
